account_uuid,state,industry,subindustry,year_established,annual_revenue,total_payroll,business_structure,num_employees,region,index,num_quotes,num_products_requested,sum_premium,avg_premium,min_premium,max_premium,premium_range,carrier_diversity,premium_ratio_max_avg,account_value,num_carriers,total_quotes,carrier_concentration,product_concentration,iqr_premium,premium_to_revenue_ratio,log_annual_revenue,log_total_payroll,revenue_per_employee,quotes_per_employee,quotes_per_million_revenue,premium_per_employee,premium_per_revenue,premium_per_quote,max_x_nquotes,avg_x_nproducts,revenue_x_payroll,premium_log,premium_log_bins,state_premium_sum_encoded,state_revenue_encoded,business_structure_premium_sum_encoded,business_structure_revenue_encoded,industry_sum_premium_encoded,industry_revenue_encoded,subindustry_sum_premium_encoded,subindustry_revenue_encoded
4de966ca-b13f-4133-acd2-d516328062fc,PA,Retail Trade,Landscaping Services,2012.0,120000.0,50000.0,Limited Liability Company,4.0,Northeast,1720,2,1,3085.0,1542.5,1177.0,1908.0,731.0,1.0,1.23695299757734,1908.0,2,2,0.5,1.0,365.5,0.012854059549503754,11.695255355062795,10.819798284210286,24000.0,0.4,1.7857142857142856,617.0,0.02570811909900751,1028.3333333333333,8.247220052745229,7.341807843942214,22.515025306341133,6.595780513961311,1,1498.0,60000.0,1417.4,70000.0,1503.0,60000.0,1422.19,35000.0
85ec3b0c-8f89c-232b-6be4c-d033c5a52e,TX,Contractors,Electrical Contractors and Other Wiring Installation Contractors,2012.0,60000.0,40000.0,Limited Liability Company,1.0,South,2968,1,1,970.0,970.0,970.0,970.0,0.0,1.0,0.9999999989690722,970.0,1,1,1.0,1.0,0.0,0.016166397226712887,11.002116507732017,10.596659732783579,30000.0,0.5,0.9433962264150942,485.0,0.016166397226712887,485.0,6.878326468291325,6.878326468291325,21.59873457471698,0.0,0,1219.0,60000.0,1417.4,70000.0,2009.0,60000.0,2135.0,75000.0
0fb1f276-95a95-9332-6927f-7e2dc3e610,NY,Unknown,Unknown,2016.0,150000.0,0.0,Corporation,0.0,Northeast,367,1,1,816.0,816.0,816.0,816.0,0.0,1.0,0.9999999987745098,816.0,1,1,1.0,1.0,0.0,0.005439963733575109,11.918397239722838,0.0,150000.0,1.0,0.8695652173913044,816.0,0.005439963733575109,408.0,6.705639094860003,6.705639094860003,0.0,0.0,0,1498.0,60000.0,1971.075,125000.0,912.0,57500.0,912.0,57500.0
5fe23456-f37a8-3c12-7a731-477f60edb9,CA,"Professional, Scientific and Technical Services",Architectural Services,2015.0,75000.0,55000.0,Limited Liability Company,0.0,West,2116,2,2,2040.0,1020.0,500.0,1540.0,1040.0,1.0,1.5098039200884275,2040.0,2,2,0.5,0.5,520.0,0.013599818669084413,11.225256725762893,10.915106645867503,75000.0,2.0,1.8604651162790697,2040.0,0.027199637338168825,680.0,8.033009498596668,7.621195162809845,22.14033185697548,6.947937068614969,2,1283.0,60000.0,1417.4,70000.0,1274.0,60000.0,1246.5,80000.0
2b2ceb23-20eb3-9a3c-87034-2eccac7276,AZ,Retail Trade,Tobacco Stores,2014.0,200000.0,0.0,Limited Liability Company,0.0,West,955,1,1,887.52,887.52,887.52,887.52,0.0,1.0,0.9999999988732649,887.52,1,1,1.0,1.0,0.0,0.004437577812110939,12.206077645517674,0.0,200000.0,1.0,0.8333333333333334,887.52,0.004437577812110939,443.76,6.789557157189422,6.789557157189422,0.0,0.0,0,1283.0,60000.0,1417.4,70000.0,1503.0,60000.0,962.52,137500.0
48f532af-f624a-e5a4-15639-62fb679786,FL,Contractors,Residential Remodelers,2017.0,50000.0,50000.0,Individual,1.0,South,1632,2,1,2581.0,1290.5,495.0,2086.0,1591.0,1.0,1.6164277399330276,495.0,2,2,0.5,1.0,795.5,0.025809483810323792,10.819798284210286,10.819798284210286,25000.0,1.0,1.9047619047619047,1290.5,0.051618967620647584,860.3333333333334,8.336390480591552,7.163559612535895,21.639556569220566,7.3727463664043285,2,1219.0,60000.0,1045.0,45000.0,2009.0,60000.0,1650.0,50000.0
beb67247-dc45-4d3e-a0be-813c4dd082ed,GA,Non Profits,Religious Organizations,2018.0,26000.0,0.0,Non-Profit,0.0,South,4242,3,2,1215.0,405.0,345.0,525.0,180.0,0.3333333333333333,1.2962962930955648,525.0,1,3,1.0,0.6666666666666666,90.0,0.01557632398753894,10.165890277802454,0.0,26000.0,3.0,2.9239766081871346,1215.0,0.04672897196261682,303.75,7.362645270417825,6.698268054115413,0.0,5.198497031265826,0,1219.0,60000.0,630.0,31120.0,620.0,25000.0,648.0,25000.0
b38a95a7-a57cb-6993-c10d0-caa8895e22,PA,Transportation and Warehousing,"General Freight Trucking, Long-Distance, Less Than Truckload",2009.0,350000.0,0.0,Individual,0.0,Northeast,3990,1,1,23615.0,23615.0,23615.0,23615.0,0.0,1.0,0.999999999957654,23615.0,1,1,1.0,1.0,0.0,0.06747123579646916,12.765691290604371,0.0,350000.0,1.0,0.7407407407407407,23615.0,0.06747123579646916,11807.5,10.0696797274002,10.0696797274002,0.0,0.0,0,1498.0,60000.0,1045.0,45000.0,7636.0,100000.0,9897.0,87500.0
b19581ac-37cff-0009-a2538-ffcc84bdc9,NY,Retail Trade,Other Personal Care Services,2017.0,10000.0,0.0,Limited Liability Company,0.0,Northeast,3945,3,3,1200.0,400.0,350.0,500.0,150.0,0.3333333333333333,1.249999996875,850.0,1,3,1.0,0.3333333333333333,75.0,0.039996000399960006,9.210440366976517,0.0,10000.0,3.0,2.9702970297029703,1200.0,0.11998800119988001,300.0,7.313886831633462,7.0909098220799835,0.0,5.017279836814924,0,1498.0,60000.0,1417.4,70000.0,1503.0,60000.0,1058.345,50000.0
101df298-2d8c-4d6c-b995-b7bb3cc0bb99,FL,Retail Trade,Landscaping Services,2018.0,30000.0,0.0,Limited Liability Company,0.0,South,379,2,1,995.0,497.5,495.0,500.0,5.0,1.0,1.0050251236079897,500.0,2,2,0.5,1.0,2.5,0.016582780573980868,10.308985993422082,0.0,30000.0,2.0,1.941747572815534,995.0,0.033165561147961736,331.6666666666667,6.90875477931522,6.211603589401893,0.0,1.791759469228055,0,1219.0,60000.0,1417.4,70000.0,1503.0,60000.0,1422.19,35000.0
